Function name;Count;Files name
OpenAndX;1;['smb_nt.inc']
known_service;1;['misc_func.inc']
cvtbanner;1;['amap.nasl']
is_private_addr;1;['network_func.inc']
svcenumservicesstatus;1;['smb_enum_services.nasl']
check_example_com;1;['rip_poison.nasl']
ftp_close;1;['ftp_func.inc']
GetRealFileVersion;1;['mssql_version.nasl']
registry_decode_binary;1;['smb_nt.inc']
wmi_os_sp;1;['wmi_os.inc']
smb_neg_prot_cs;1;['smb_nt.inc']
registry_flush;1;['smb_nt.inc']
registry_enum_value;1;['smb_nt.inc']
asip_status;1;['asip-status.nasl']
registry_open_hklm_NTLMSSP;1;['smb_nt.inc']
base64;1;['misc_func.inc']
version_in_range;1;['version_func.inc']
extract_dns_data;1;['icmp_domain_name.nasl']
get_sip_banner;4;['asterisk_null_pointer_dereference.nasl', 'asterisk_sdp_header_overflow.nasl', 'secpod_asterisk_detect.nasl', 'sip.inc']
check_req_recv;1;['DDI_Directory_Scanner.nasl']
dllcheck;1;['DDI_IIS_Compromised.nasl']
netop_zeropad;1;['netop.inc']
set_byte_order;1;['byte_func.inc']
http_keepalive_recv_body;1;['http_keepalive.inc']
is_killbit_set;2;['secpod_activex.inc', 'secpod_ms09-055.nasl']
load_uuid_le;1;['dcetest.nasl']
check_cisco_telnet;1;['cisco_default_pw.nasl']
smtp_recv;1;['check_smtp_helo.nasl']
rpclong;1;['nfs_func.inc']
unicode2;1;['smb_nt.inc']
find_version;5;['gb_apple_safari_cfnetwork_background_dos_vuln.nasl', 'gb_apple_safari_cfnetwork_src_dos_vuln.nasl', 'gb_apple_safari_webkit_dos_vuln.nasl', 'gb_serenity_player_detect.nasl', 'secpod_ms09-074.nasl']
unicode4;1;['smb_nt.inc']
telnet_negotiate;1;['telnet_func.inc']
pack_uint_32;1;['bin.inc']
dh_gen_key;1;['ssh_func.inc']
get_server_host_key;1;['ssh_func.inc']
nntp_article;1;['nntp_func.inc']
slack_elt_cmp;1;['slackware.inc']
smb_neg_prot_NTLMSSP;1;['smb_nt.inc']
is_sshd_bugged;1;['ssh_func.inc']
recv_until;1;['default_account.inc']
smbntcreatex_extract_pipe;1;['smb_nt.inc']
registry_get_binary;1;['smb_nt.inc']
SamrConnect2;1;['smb_nt.inc']
SamrQueryUserInfo;1;['smb_nt.inc']
hotfix_check_domain_controler;1;['secpod_reg.inc']
kb_smb_login;1;['smb_nt.inc']
nntp_auth;1;['nntp_func.inc']
align;1;['bin.inc']
get_slad_description;1;['slad.inc']
urlencode;1;['url_func.inc']
check_req_send;1;['DDI_Directory_Scanner.nasl']
hku_registry_get_sz;1;['gb_google_chrome_detect_win.nasl']
smb_get_file_size;1;['smb_nt.inc']
https_get;10;['aventail_asap.nasl', 'bluecoat_mgnt_console.nasl', 'checkpoint_secureplatform.nasl', 'compaq_web_mgmt_password.nasl', 'enterasys_dragon_reporting_detect.nasl', 'fortigate_detect.nasl', 'hp_jadm_vuln.nasl', 'iss_deploymanager.nasl', 'securenet_sensor_detect.nasl', 'webshield_detect.nasl']
wmi_os_windir;1;['wmi_os.inc']
http_send_recv_length;1;['packeteer_web_version.nasl']
pack_pad_byte;1;['bin.inc']
