Function name;Count;Files name
this_host;8;['network_func.inc', 'sip.inc', 'sip.inc', 'sip.inc', 'sip.inc', 'tftp.inc', 'tftp.inc', 'tftp.inc']
OpenAndX;5;['secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'secpod_smb_func.inc', 'GSHB_read_file.inc']
smtp_recv_banner;2;['smtp_func.inc', 'smtp_func.inc']
pack_uint_32;3;['bin.inc', 'bin.inc', 'bin.inc']
unpack_pad_byte;1;['bin.inc']
registry_decode_sz;1;['smb_nt.inc']
smb_get_file_size_NTLMSSP;1;['smb_nt.inc']
load_intarray_from_kb;3;['ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc']
kex_packet;4;['ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc']
netbios_name;1;['smb_nt.inc']
security_warning;3;['netop.inc', 'slad_ssh.inc', 'slad_ssh.inc']
smb_neg_prot_NTLMSSP;1;['smb_nt.inc']
ftp_close;1;['ftp_func.inc']
this_host_name;8;['nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc', 'nfs_func.inc']
sleep;2;['http_func.inc', 'nntp_func.inc']
send_packet;4;['network_func.inc', 'tftp.inc', 'tftp.inc', 'tftp.inc']
unicode;1;['smb_nt.inc']
log_message;4;['slad.inc', 'smbcl_func.inc', 'smbcl_func.inc', 'toolcheck.inc']
http_get;9;['http_func.inc', 'http_func.inc', 'http_func.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc']
line2string;1;['dump.inc']
dh_generate_key;1;['ssh_func.inc']
http_keepalive_check_connection;3;['http_keepalive.inc', 'http_keepalive.inc', 'http_keepalive.inc']
key_exchange;1;['smb_nt.inc']
pack_string_hex;1;['bin.inc']
registry_enum_value;1;['secpod_smb_func.inc']
kb_ssh_transport;2;['slad_ssh.inc', 'ssh_func.inc']
register_data_in_kb;3;['ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc']
registry_open_hklm_NTLMSSP;1;['smb_nt.inc']
ftp_recv_line;6;['ftp_func.inc', 'ftp_func.inc', 'ftp_func.inc', 'ftp_func.inc', 'ftp_func.inc', 'ftp_func.inc']
raw_int32;32;['ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc', 'ssh_func.inc']
