Function name;Count;Files name
OpenAndX;1;['smb_nt.inc']
known_service;1;['misc_func.inc']
is_private_addr;1;['network_func.inc']
ftp_close;1;['ftp_func.inc']
registry_decode_binary;1;['smb_nt.inc']
wmi_os_sp;1;['wmi_os.inc']
smb_neg_prot_cs;1;['smb_nt.inc']
registry_flush;1;['smb_nt.inc']
registry_enum_value;1;['smb_nt.inc']
register_data_in_kb;1;['ssh_func.inc']
registry_open_hklm_NTLMSSP;1;['smb_nt.inc']
base64;1;['misc_func.inc']
version_in_range;1;['version_func.inc']
init;1;['ssh_func.inc']
get_sip_banner;1;['sip.inc']
netop_zeropad;1;['netop.inc']
set_byte_order;1;['byte_func.inc']
http_keepalive_recv_body;1;['http_keepalive.inc']
is_killbit_set;1;['secpod_activex.inc']
unicode3;1;['smb_nt.inc']
unicode2;1;['smb_nt.inc']
unicode4;1;['smb_nt.inc']
telnet_negotiate;1;['telnet_func.inc']
pack_uint_32;1;['bin.inc']
dh_gen_key;1;['ssh_func.inc']
get_server_host_key;1;['ssh_func.inc']
nntp_article;1;['nntp_func.inc']
slack_elt_cmp;1;['slackware.inc']
registry_shutdown;1;['smb_nt.inc']
is_sshd_bugged;1;['ssh_func.inc']
recv_until;1;['default_account.inc']
smbntcreatex_extract_pipe;1;['smb_nt.inc']
registry_get_binary;1;['smb_nt.inc']
SamrConnect2;1;['smb_nt.inc']
SamrQueryUserInfo;1;['smb_nt.inc']
hotfix_check_domain_controler;1;['secpod_reg.inc']
nntp_auth;1;['nntp_func.inc']
align;1;['bin.inc']
get_slad_description;1;['slad.inc']
urlencode;1;['url_func.inc']
smb_get_file_size;1;['smb_nt.inc']
find_file;1;['version_func.inc']
urldecode;1;['url_func.inc']
wmi_user_groupuser;1;['wmi_user.inc']
wmi_user_is_userpass_expires;1;['wmi_user.inc']
dpkgnorm;1;['pkg-lib-deb.inc']
registry_close;1;['smb_nt.inc']
netop_spacepad;1;['netop.inc']
wmi_misc_software;1;['wmi_hardware.inc']
find_bin;1;['version_func.inc']
wmi_os_all;1;['wmi_os.inc']
smb_neg_prot;1;['smb_nt.inc']
unpack_string_null;1;['bin.inc']
registry_key_exists;1;['smb_nt.inc']
registry_get_key;1;['smb_nt.inc']
cgi_dirs;1;['http_func.inc']
wmi_user_is_userpass_changeable;1;['wmi_user.inc']
_SamrEnumDomains;1;['smb_nt.inc']
kb_smb_domain;1;['smb_nt.inc']
wmi_misc_localtime;1;['wmi_misc.inc']
derive_keys;1;['ssh_func.inc']
debug_print;1;['global_settings.inc']
load_data_from_kb;1;['ssh_func.inc']
get_ssl_server_hello;1;['secpod_ssl_ciphers.inc']
update_window_size;1;['ssh_func.inc']
wmi_hardware_scsicontrollerdevice;1;['wmi_hardware.inc']
http_keepalive_enabled;1;['http_keepalive.inc']
netbios_redirector_name;1;['smb_nt.inc']
netop_kb_derive;1;['netop.inc']
ip_dot2raw;1;['netop.inc']
get_http_page;1;['http_keepalive.inc']
http_is_dead;1;['http_func.inc']
smb_recv;1;['smb_nt.inc']
base64_code;1;['misc_func.inc']
wmi_svc_prop;1;['wmi_svc.inc']
wmi_file_get_extnfile;1;['wmi_file.inc']
version_is_equal;1;['version_func.inc']
