Function name;Count;Files name
cvtbanner;1;['amap.nasl']
checkport;1;['portscan-tcp-simple.nasl']
basename;1;['webmirror.nasl']
probe;5;['nessus_detect.nasl', 'OpenVAS_detect.nasl', 'PC_anywhere_tcp.nasl', 'vnc.nasl', 'vnc_http.nasl']
svcenumservicesstatus;1;['smb_enum_services.nasl']
my_http_get;1;['webmirror.nasl']
check_example_com;1;['rip_poison.nasl']
GetFileExt;1;['goaheadwebserver_source_disclosure.nasl']
extract_location;1;['webmirror.nasl']
report_missed_svc;1;['doublecheck_std_services.nasl']
my_http_keepalive_recv;1;['webmirror.nasl']
xssExploit;1;['XRMS_CVE-2008-3664.nasl']
is_vulnerable;1;['openca_html_injection.nasl']
FileVer;6;['secpod_ms09-062.nasl', 'secpod_ms10-003.nasl', 'secpod_ms10-036.nasl', 'secpod_ms10-063.nasl', 'secpod_ms10-087.nasl', 'secpod_ms10-105.nasl']
check_cisco_account;1;['cisco_default_pw.nasl']
add_30x;1;['webmirror.nasl']
run_slad_snort;3;['GSHB_SLAD_snort.nasl', 'GSHB_M4_288.nasl', 'GSHB_M4_288.nasl']
Get_FileVersion;9;['gb_ms08-030.nasl', 'gb_ms08-031.nasl', 'gb_ms08-033.nasl', 'gb_ms08-040.nasl', 'gb_mssql_sp_replwritetovarbin_bof_vuln.nasl', 'secpod_ms08-037_900005.nasl', 'secpod_ms08-039_900007.nasl', 'secpod_ms08-044_900029.nasl', 'secpod_ms09-003.nasl']
add_discovered_list;1;['DDI_Directory_Scanner.nasl']
asip_status;1;['asip-status.nasl']
fill_names;1;['smb_suspicious_files.nasl']
run_slad_fastjohn;1;['GSHB_SLAD_fastjohn.nasl']
send_DSIGetStatus;1;['asip-status.nasl']
check_discovered_list;1;['DDI_Directory_Scanner.nasl']
read_content;1;['gb_fresh_ftp_client_dir_traversal_vuln.nasl']
unpack_short;1;['oracle_tnslsnr_version.nasl']
read_key;1;['ssh_proto_version.nasl']
extract_dns_data;1;['icmp_domain_name.nasl']
get_sip_banner;3;['asterisk_null_pointer_dereference.nasl', 'asterisk_sdp_header_overflow.nasl', 'secpod_asterisk_detect.nasl']
oracle_version;1;['oracle_tnslsnr_version.nasl']
packet_construct;2;['checkpoint-vpn1-pat-information-disclosure.nasl', 'msdns-server-hostname-disclosure.nasl']
ModuleA;1;['os_fingerprint.nasl']
check_req_recv;1;['DDI_Directory_Scanner.nasl']
parse_DSIGetStatus;1;['asip-status.nasl']
grabCpuInfos;1;['remote-detect-MDNS.nasl']
find_boozt;1;['boozt_admin_overflow.nasl']
test_socks;1;['socks.nasl']
get_fingerprint;1;['ssh_proto_version.nasl']
sql_recv;1;['mssql_brute_force.nasl']
load_uuid_le;1;['dcetest.nasl']
check_cisco_telnet;1;['cisco_default_pw.nasl']
smtp_recv;1;['check_smtp_helo.nasl']
get;1;['snmp_hpJetDirectEWS.nasl']
getWebCmpntsVer;1;['gb_ms_office_web_compnts_actvx_code_exec_vuln.nasl']
find_version;5;['gb_apple_safari_cfnetwork_background_dos_vuln.nasl', 'gb_apple_safari_cfnetwork_src_dos_vuln.nasl', 'gb_apple_safari_webkit_dos_vuln.nasl', 'gb_serenity_player_detect.nasl', 'secpod_ms09-074.nasl']
istring_from_buffer;1;['dcetest.nasl']
bin2string;4;['gb_apache_derby_detect.nasl', 'gb_mongodb_detect.nasl', 'perforce_detect.nasl', 'postgresql_detect.nasl']
add_cgi;1;['webmirror.nasl']
delete_user;1;['xmpp_detect.nasl']
asterisk_check;1;['secpod_asterisk_sip_channel_driver_dos_vuln.nasl']
report;2;['gb_freeSSHd_38887.nasl', 'record_route.nasl']
extract_ip_addr;1;['ospf_detect.nasl']
remote_login;1;['smb_login.nasl']
same_start;1;['www_fingerprinting_hmap.nasl']
read_data;1;['gb_informix_detect.nasl']
mk_login_file;1;['remote-pwcrack-options.nasl']
testreq;1;['www_fingerprinting_hmap.nasl']
ventrilo_udp_crc;1;['ventrilo_detect.nasl']
check_cgi_dir;1;['DDI_Directory_Scanner.nasl']
check_version;2;['gb_ms10_024.nasl', 'gb_ms_smtp_dns_spoofing_vulnerability.nasl']
parse_javascript;1;['webmirror.nasl']
start_passive;1;['cisco_ios_ftp_server_auth_bypass.nasl']
check_page;1;['DDI_JRun_Sample_Files.nasl']
GetRealFileVersion;1;['mssql_version.nasl']
sip_send_recv;3;['asterisk_null_pointer_dereference.nasl', 'asterisk_pbx_guest_access_enabled.nasl', 'asterisk_sdp_header_overflow.nasl']
dir;1;['webmirror.nasl']
asteris_is_vulnerable;1;['secpod_asterisk_iax2_call_number_dos_vuln.nasl']
hku_registry_get_sz;1;['gb_google_chrome_detect_win.nasl']
mark_socks_proxy;1;['socks.nasl']
exists;1;['http_methods.nasl']
report_and_exit;2;['find_service2.nasl', 'tftpd_dir_trav.nasl']
parse_dir_from_src;1;['webmirror.nasl']
IndeoCodecVersion;1;['gb_ms_indeo_codec_mult_vuln.nasl']
https_get;10;['aventail_asap.nasl', 'bluecoat_mgnt_console.nasl', 'checkpoint_secureplatform.nasl', 'compaq_web_mgmt_password.nasl', 'enterasys_dragon_reporting_detect.nasl', 'fortigate_detect.nasl', 'hp_jadm_vuln.nasl', 'iss_deploymanager.nasl', 'securenet_sensor_detect.nasl', 'webshield_detect.nasl']
string_from_buffer;1;['dcetest.nasl']
http_send_recv_length;1;['packeteer_web_version.nasl']
SurgeMailSetVer;1;['secpod_surgemail_detect.nasl']
check_vuln;2;['gb_ipswitch_imail_server_11_02.nasl', 'ipswitch_IMail_38109.nasl']
canonical_url;1;['webmirror.nasl']
getdc;1;['ldapsearch.nasl']
load_short_be;1;['dcetest.nasl']
clean_url;1;['webmirror.nasl']
too_many_timeouts;1;['doublecheck_std_services.nasl']
load_uuid;1;['dcetest.nasl']
check_telnet_account;1;['GSHB_SSH_TELNET_BruteForce.nasl']
command_construct;1;['ike-scan.nasl']
calc_data;1;['ike_check.nasl']
add_auth;1;['webmirror.nasl']
make_sql_login_pkt;5;['mssqlserver_detect.nasl', 'mssql_blank_password.nasl', 'mssql_brute_force.nasl', 'sybase_asa_default_password.nasl', 'sybase_blank_password.nasl']
read_dce_pdu;1;['dcetest.nasl']
dce_bind;2;['dcetest.nasl', 'msrpc-spike27.nasl']
compute_rtt;1;['nmap.nasl']
smbreadx;1;['smb_enum_services.nasl']
command_parse;1;['ike-scan.nasl']
run_slad_mbsaos;1;['GSHB_SLAD_MBSA_os.nasl']
res_check;1;['ldapsearch.nasl']
check_req_send;1;['DDI_Directory_Scanner.nasl']
load_short;1;['dcetest.nasl']
remove_cgi_arguments;1;['webmirror.nasl']
testfile;1;['theserver_cleartext.nasl']
tftp_attack;1;['secpod_pumpkin_tftp_server_dos_vuln.nasl']
b2w;1;['asip-status.nasl']
hash2cgi;1;['webmirror.nasl']
parse_java;1;['webmirror.nasl']
check_flaw;1;['ypupdated_remote_exec.nasl']
extract_version;2;['oracle_tnslsnr_version.nasl', 'webplus_version.nasl']
RemoteClose;1;['remote-MS04-011.nasl']
reported;1;['DDI_IIS_Compromised.nasl']
read_xteld;1;['xtel_detect.nasl']
test_q3_port;1;['quake3_dos.nasl']
check_setting;1;['citrix_find.nasl']
cookie_extract;1;['netscaler_web_cookie_info.nasl']
sec2ascii;1;['tcp_timestamps.nasl']
read_packet;1;['secspace_traceroute.nasl']
IP_IS_IPV6;2;['ping_host.nasl', 'secspace_traceroute.nasl']
Get_dllversion;2;['secpod_ms10-013.nasl', 'secpod_ms10-083.nasl']
telnet_attack;1;['ms_telnet_overflow.nasl']
get_filter;1;['secspace_traceroute.nasl']
CheckSympa;1;['sympa_detect.nasl']
parse_form;1;['webmirror.nasl']
ventrilo_udp_data_dec;1;['ventrilo_detect.nasl']
is_ssl;1;['netscaler_web_unencrypted.nasl']
run_slad_logwatchlow;1;['GSHB_SLAD_logwatchlow.nasl']
ntp_installed;1;['ntp_open.nasl']
ServuGetVer;1;['gb_rhinosoft_serv-u_detect.nasl']
sip_alive;1;['gb_nch_office_intercom_45049.nasl']
add_cgi_dir;1;['webmirror.nasl']
named_items;1;['netop_infopublic.nasl']
tftp_grab;2;['tftpd_detect.nasl', 'tftpd_dir_trav.nasl']
is_killbit_set;1;['secpod_ms09-055.nasl']
sendrequest;3;['DDI_AirConnect_Default_Password.nasl', 'DDI_GlobalASA_Retrieval.nasl', 'DDI_Unprotected_SiteScope.nasl']
b2dw;1;['asip-status.nasl']
load_short_le;1;['dcetest.nasl']
makereport;1;['ldapsearch.nasl']
add_dir_list;1;['DDI_IIS_Compromised.nasl']
check_dir_list;2;['DDI_Directory_Scanner.nasl', 'DDI_IIS_Compromised.nasl']
check_discard;1;['SHN_discard.nasl']
crawlLevel;1;['secpod_reg_enum.nasl']
add_printer;1;['cups_empty_udp_dos.nasl']
check_lpd;1;['gb_mocha_w32_lpd_39498.nasl']
ntp_read_list;1;['ntp_open.nasl']
test_for_backtick;1;['port_shell_execution.nasl']
isprint;1;['netbios_name_get.nasl']
add_cache;1;['DDI_IIS_Compromised.nasl']
hex2raw;1;['amap.nasl']
test_proto;1;['ip_protocol_scan.nasl']
token_split;1;['webmirror.nasl']
crawl_dir;1;['ftp_writeable_directories.nasl']
check_header;1;['Omnihttpd_pro_source_disclosure.nasl']
dce_parse;1;['dcetest.nasl']
run_slad_mbsaall;1;['GSHB_SLAD_MBSA_all.nasl']
http_getdirlist;1;['weblogic_percent.nasl']
test_app_socket;1;['appsocket_DoS.nasl']
kms_isWeakAdminProtocol;1;['kerio_mailserver_admin_port.nasl']
args;1;['GSHB_LDAP_User_w_LogonHours.nasl']
AvantGetVersion;1;['gb_avant_browser_detect.nasl']
rip_test;1;['rip_detect.nasl']
get_version;11;['amanda_detect.nasl', 'gb_ms08-046.nasl', 'packeteer_web_version.nasl', 'secpod_ms08-045_900030.nasl', 'secpod_ms08-048_900031.nasl', 'secpod_ms08-049_900035.nasl', 'secpod_ms08-050_900034.nasl', 'secpod_ms08-053_900044.nasl', 'secpod_ms08-054_900045.nasl', 'secpod_ms08-055_900046.nasl', 'secpod_ms08-076.nasl']
check_reg;2;['smb_suspicious_files.nasl', 'smb_virii.nasl']
greprecv;1;['DDI_motorola_vanguard_no_pass.nasl']
retr;1;['webmirror.nasl']
attack;2;['msrpc-spike27.nasl', 'teso_telnet.nasl']
ntohs;2;['dns_xfer.nasl', 'ventrilo_detect.nasl']
get_version_snmp;1;['packeteer_packetshaper_web_dos.nasl']
get_module_list;1;['rsync_modules.nasl']
tftp_ping;2;['tftpd_overflow.nasl', 'tftpd_small_overflow.nasl']
